section,name,height_m,year,primary_use,town,construction_type,lat,lng,type,remarks,source
Structures 150 to 200 metres tall,25 Bank Street,153.0,2003,office,"Canary Wharf, London",skyscraper,51.5032083,-0.02095,BUILDING,,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,40 Bank Street,153.0,2003,office,"Canary Wharf, London",skyscraper,51.5026222,-0.0196056,BUILDING,,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,Sandale Mast,153.0,1957,communication,"Wigton , Cumbria",guyed steel lattice mast,54.74915,-3.1407333,MAST_COMMUNICATION,,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,Croydon Tower,152.6,1962,communication,"Norwood , London",lattice tower,51.409833,-0.0857167,TOWER_COMMUNICATION,"Original 61 m (200 ft) tower built in 1955, replaced in 1962.",https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,Darvel Mast,152.4,,communication,"Darvel , East Ayrshire",guyed steel lattice mast,55.5794361,-4.289775,MAST_COMMUNICATION,,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,Forfar Mast,152.4,,communication,"Forfar , Angus",guyed steel lattice mast,56.5572889,-2.8435167,MAST_COMMUNICATION,,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,Membury Mast,152.4,1965,communication,"Hungerford , Berkshire",guyed steel lattice mast,51.4849,-1.5588472,MAST_COMMUNICATION,,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,Washford Masts,152.0,1933,communication,"Washford , Somerset",guyed steel lattice mast,51.1611722,-3.3490667,MAST_COMMUNICATION,,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,BT Tower (Birmingham),152.0,1965,communication,"Birmingham , West Midlands",concrete tower,52.4835222,-1.904278,TOWER_COMMUNICATION,,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,Cockenzie Power Station,152.0,1966 [ 49 ],chimney,"Cockenzie , East Lothian",concrete tower,55.9680167,-2.973025,CHIMNEY,"Twin chimneys, demolished on 26 September 2015. [ 50 ]",https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,Westerglen Mast,152.0,1980,communication,"Falkirk , Stirlingshire",guyed steel lattice mast,55.97583,-3.816333,MAST_COMMUNICATION,,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,Carmel Mast,151.9,,communication,"Cross Hands , Carmarthenshire",guyed steel lattice mast,51.8185139,-4.067425,MAST_COMMUNICATION,,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,Hannington Mast,151.9,1969,communication,"Hannington , Hampshire",guyed steel lattice mast,51.3079806,-1.2447194,MAST_COMMUNICATION,,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,10 Upper Bank Street,151.0,2003,office,"Canary Wharf, London",skyscraper,51.5029556,-0.0167861,BUILDING,,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,Blaenplwyf Mast,150.5,1956,communication,"Aberystwyth , Ceredigion",guyed steel lattice mast,52.3606833,-4.1025,MAST_COMMUNICATION,,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
Structures 150 to 200 metres tall,Lawrence Weston Wind Turbine,150.0,2023,wind turbine,"Avonmouth , Bristol",steel tower,51.5379278,-2.6739944,TOWER,It is currently the tallest onshore wind turbine in England.,https://en.wikipedia.org/wiki/List_of_tallest_structures_in_the_United_Kingdom
